reviewId,content,score,thumbsUpCount,at,source,thread,id,primary_tag,secondary_tag,categories_mentioned,explored_new,sentiment
541b416c-5c94-4b7d-aa5e-8602167be0ed,"Yeah, I should congratulate this app and the company for delivering Damaged products to their customers.",1.0,0.0,2026-07-15 12:09:44,play_store,,541b416c-5c94-4b7d-aa5e-8602167be0ed,SERVICE_NOISE,,[],False,negative
07679f5a-4ead-4297-be3a-fa83b6c1716d,"Absolutely pathetic customer service. Received a punctured, leaking packet of dahi, and their support team completely refused to help, claiming the ""delivery photo looks fine."" It’s a joke. They are literally willing to lose a returning customer permanently over a ₹23 item. If they cannot take responsibility for damaged food items, there is no point in using this app. Deleting immediately and switching to competitors who actually value their users. Unreliable and deeply disappointing",1.0,0.0,2026-07-15 12:07:56,play_store,,07679f5a-4ead-4297-be3a-fa83b6c1716d,TRUST_QUALITY,SERVICE_NOISE,['dairy'],False,negative
7e07bc3f-e1a5-481b-8048-162a25f4cb76,poor customer care service,2.0,0.0,2026-07-15 11:53:09,play_store,,7e07bc3f-e1a5-481b-8048-162a25f4cb76,SERVICE_NOISE,,[],False,negative
b3a978f8-e534-4611-8999-05a47980bbb0,"Title: Quick resolution by the escalation team! Initially received a tampered and half-empty product, and the chat support was completely useless. However, once I emailed their Grievance team, they resolved the issue instantly and processed my refund within hours. Chat support needs better training, but the higher escalation team is highly professional and responsible. Thanks for restoring my trust, Zepto!",5.0,0.0,2026-07-15 11:22:39,play_store,,b3a978f8-e534-4611-8999-05a47980bbb0,TRUST_QUALITY,SERVICE_NOISE,[],False,mixed
a3739c7e-4fae-40b8-9757-fd64789b9f22,one of the worst in quick commerence,1.0,0.0,2026-07-15 11:21:19,play_store,,a3739c7e-4fae-40b8-9757-fd64789b9f22,SERVICE_NOISE,,[],False,negative
23d1e11d-98e3-407a-a98c-edafbb622a4e,ok ok not so good not so bad,3.0,0.0,2026-07-15 11:10:35,play_store,,23d1e11d-98e3-407a-a98c-edafbb622a4e,SERVICE_NOISE,,[],False,mixed
6306d99b-cd60-46a7-a455-9e10f7488c13,fast and good service center near hai is only zepto zepto zepto zepto zepto zepto service center.,1.0,0.0,2026-07-15 11:04:38,play_store,,6306d99b-cd60-46a7-a455-9e10f7488c13,SERVICE_NOISE,,[],False,positive
249f83ad-67ea-4ff3-83f6-aaa2dc8b862c,"Paced an order recently and reported that an item is missing and they kept repeating as below. For Exo Ginger & Lemon Anti Bacterial Dishwash Liquid | Tough Grease Removal with Power of Bio-EnzymesThank you for sharing your concern. Upon reviewing the delivery details, after a thorough review of your order, we can confirm that all items were delivered in full. Unfortunately, we will not be able to process your request further. We appreciate your understanding.Pathetic and pop corn is too salty.",1.0,0.0,2026-07-15 11:04:16,play_store,,249f83ad-67ea-4ff3-83f6-aaa2dc8b862c,SERVICE_NOISE,,['household'],False,negative
06aa9153-9b2e-4c4d-82f3-cf433ef71c1d,they suppose to pick up the item from me but they didn't do it but not given the refund they know how to cheat customer,1.0,0.0,2026-07-15 10:59:05,play_store,,06aa9153-9b2e-4c4d-82f3-cf433ef71c1d,SERVICE_NOISE,,[],False,negative
ac298854-32e1-4540-ba09-da6e25b55b35,good & fast delivery.,5.0,0.0,2026-07-15 10:45:56,play_store,,ac298854-32e1-4540-ba09-da6e25b55b35,SERVICE_NOISE,,[],False,positive
